matrix,abox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,:neighbours,Resource,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Resource,,EndRobot,D1,D2,D3,D4,D5,I1,I2,I3,L1,L2,H1,H2,H3,H4,H5,H6,B1,B2,B3,B4,B5,C1,,,,,
,,,EndRobot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,D1,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
,,,D2,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
,,,D3,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
,,,D4,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
,,,D5,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
,,,I1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
,,,I2,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
,,,I3,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
,,,L1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
,,,L2,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
,,,H1,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,
,,,H2,,,,,x,x,x,x,,,,,,,,,,,x,,,,,,,,,
,,,H3,,,,,,,,,x,x,x,,,,,,,,,x,,,,,,,,
,,,H4,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,
,,,H5,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,
,,,H6,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,
,,,B1,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,
,,,B2,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,
,,,B3,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,
,,,B4,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,
,,,B5,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
,,,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
