func,abox,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,:freeCapacity,,,,,,,,,,,,,,
,,,,^^xsd:float,,,,,,,,,,,,,,
,,EndRobot,,0,,,,,,,,,,,,,,
,,D1,,6,,,,,,,,,,,,,,
,,D2,,6,,,,,,,,,,,,,,
,,D3,,6,,,,,,,,,,,,,,
,,D4,,6,,,,,,,,,,,,,,
,,D5,,6,,,,,,,,,,,,,,
,,I1,,6,,,,,,,,,,,,,,
,,I2,,6,,,,,,,,,,,,,,
,,I3,,6,,,,,,,,,,,,,,
,,L1,,6,,,,,,,,,,,,,,
,,L2,,6,,,,,,,,,,,,,,
,,H1,,6,,,,,,,,,,,,,,
,,H2,,6,,,,,,,,,,,,,,
,,H3,,6,,,,,,,,,,,,,,
,,H4,,6,,,,,,,,,,,,,,
,,H5,,6,,,,,,,,,,,,,,
,,H6,,6,,,,,,,,,,,,,,
,,B1,,6,,,,,,,,,,,,,,
,,B2,,6,,,,,,,,,,,,,,
,,B3,,6,,,,,,,,,,,,,,
,,B4,,6,,,,,,,,,,,,,,
,,B5,,6,,,,,,,,,,,,,,
,,C1,,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
